Player,Pos,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Pick,draft_year,defensive_PD,defensive_QB HUR,defensive_SACKS,defensive_SOLO,defensive_TD,defensive_TFL,defensive_TOT,interceptions_AVG,interceptions_INT,interceptions_TD,interceptions_YDS
Josiah Scott,CB,69.0,185.0,4.42,0.0,17.0,0.0,0.0,0.0,1.0,137.0,2020.0,7.0,0.0,0.0,38.0,0.0,0.0,55.0,11.3,3.0,0.0,34.0
Troy Pride,CB,71.0,193.0,4.4,35.5,13.0,119.0,6.94,4.26,1.0,113.0,2020.0,6.0,0.0,0.0,27.0,0.0,0.0,40.0,39.0,1.0,0.0,39.0
John Reid,CB,70.0,187.0,4.49,36.5,20.0,129.0,6.95,3.97,1.0,141.0,2020.0,8.0,1.0,1.0,26.0,1.0,2.5,37.0,30.5,2.0,1.0,61.0
Amik Robertson,CB,68.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,139.0,2020.0,16.0,1.0,1.0,44.0,3.0,8.0,60.0,19.4,5.0,2.0,97.0
James Pierre,CB,72.0,183.0,4.59,33.5,0.0,123.0,7.02,0.0,0.0,0.0,2020.0,4.0,0.0,0.0,30.0,0.0,4.5,43.0,11.0,3.0,0.0,33.0
Kindle Vildor,CB,70.0,191.0,4.44,39.5,22.0,133.0,7.14,4.28,1.0,163.0,2020.0,6.0,0.0,0.0,23.0,0.0,3.0,27.0,0.0,2.0,0.0,0.0
A.J. Terrell,CB,73.0,195.0,4.42,34.5,15.0,129.0,0.0,0.0,1.0,16.0,2020.0,3.0,2.0,0.5,24.0,0.0,0.5,34.0,32.5,2.0,0.0,65.0
Reggie Robinson II,CB,73.0,205.0,4.44,36.0,22.0,132.0,7.09,4.18,1.0,123.0,2020.0,13.0,0.0,0.0,26.0,0.0,1.0,38.0,9.3,3.0,0.0,28.0
Lamar Jackson,CB,74.0,208.0,4.58,36.5,10.0,122.0,0.0,0.0,0.0,0.0,2020.0,12.0,1.0,1.0,26.0,0.0,3.0,35.0,4.0,3.0,0.0,12.0
Bryce Hall,CB,73.0,202.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,158.0,2020.0,4.0,0.0,1.0,13.0,0.0,3.0,20.0,0.0,0.0,0.0,0.0
Jeff Gladney,CB,70.0,191.0,4.48,37.5,17.0,124.0,7.26,0.0,1.0,31.0,2020.0,14.0,0.0,0.5,24.0,0.0,1.5,31.0,0.0,1.0,0.0,0.0
Harrison Hand,CB,71.0,197.0,4.52,41.0,14.0,133.0,7.15,4.27,1.0,169.0,2020.0,5.0,0.0,0.0,43.0,0.0,4.0,59.0,2.7,3.0,0.0,8.0
