Player,Pos,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Pick,draft_year,defensive_PD,defensive_QB HUR,defensive_SACKS,defensive_SOLO,defensive_TD,defensive_TFL,defensive_TOT
Victor Dimukeje,DE,73.0,262.0,4.87,34.5,28.0,115.0,7.25,4.35,1.0,210.0,2021.0,1.0,2.0,7.5,22.0,0.0,8.0,39.0
Jonathon Cooper,DE,74.0,253.0,4.69,33.0,28.0,108.0,6.99,4.31,1.0,239.0,2021.0,1.0,2.0,3.5,12.0,0.0,3.5,24.0
Kentavius Street,DE,74.0,280.0,4.87,0.0,28.0,0.0,0.0,0.0,1.0,128.0,2018.0,2.0,4.0,3.5,16.0,0.0,6.5,38.0
Joshua Paschal,DE,75.0,268.0,4.77,37.5,0.0,123.0,0.0,0.0,1.0,46.0,2022.0,0.0,8.0,5.0,24.0,0.0,15.0,52.0
Colby Wooden,DE,76.0,273.0,4.79,0.0,23.0,115.0,0.0,4.52,1.0,116.0,2023.0,3.0,10.0,6.0,36.0,0.0,11.5,45.0
Ikenna Enechukwu,DE,76.0,264.0,4.7,31.5,0.0,120.0,0.0,0.0,0.0,0.0,2023.0,0.0,6.0,3.5,15.0,0.0,8.5,33.0
Tyler Lacy,DE,76.0,279.0,5.11,28.5,30.0,116.0,7.6,0.0,1.0,130.0,2023.0,1.0,4.0,3.0,12.0,0.0,8.5,27.0
Jayson Oweh,DE,77.0,257.0,4.36,39.5,21.0,134.0,6.83,4.21,1.0,31.0,2021.0,1.0,1.0,0.0,20.0,0.0,6.5,38.0
Chris Rumph,DE,74.0,244.0,0.0,0.0,18.0,0.0,0.0,0.0,1.0,118.0,2021.0,1.0,3.0,8.0,26.0,0.0,11.5,51.0
Cameron Sample,DE,74.0,267.0,4.72,37.0,23.0,116.0,7.39,4.48,0.0,0.0,2021.0,1.0,3.0,5.0,29.0,0.0,7.5,52.0
Ronnie Perkins,DE,74.0,253.0,4.71,32.0,25.0,115.0,0.0,4.69,1.0,96.0,2021.0,0.0,8.0,5.5,16.0,0.0,10.5,23.0
Mustafa Johnson,DE,72.0,280.0,0.0,29.0,27.0,103.0,7.18,4.51,0.0,0.0,2021.0,0.0,2.0,2.0,15.0,0.0,5.0,22.0
Patrick Johnson,DE,78.0,240.0,4.59,35.0,16.0,119.0,6.97,4.41,1.0,234.0,2021.0,2.0,3.0,9.0,26.0,0.0,13.5,39.0
Zeandae Johnson,DE,75.0,270.0,4.89,27.5,22.0,108.0,0.0,0.0,0.0,0.0,2021.0,0.0,1.0,0.0,3.0,0.0,0.5,8.0
Wyatt Hubert,DE,74.0,258.0,4.93,32.5,0.0,110.0,7.03,4.28,1.0,235.0,2021.0,1.0,5.0,8.5,19.0,0.0,13.0,27.0
Tarron Jackson,DE,74.0,254.0,4.68,29.0,25.0,118.0,7.45,4.51,1.0,191.0,2021.0,0.0,14.0,8.5,25.0,0.0,14.0,54.0
Romeo McKnight,DE,76.0,252.0,4.98,38.0,0.0,118.0,7.06,4.2,0.0,0.0,2021.0,0.0,3.0,1.0,11.0,0.0,4.5,23.0
Malcolm Koonce,DE,74.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,79.0,2021.0,2.0,4.0,5.0,16.0,0.0,6.5,30.0
Isaiahh Loudermilk,DE,78.0,274.0,5.08,28.5,21.0,112.0,7.52,4.55,1.0,156.0,2021.0,0.0,3.0,2.0,9.0,0.0,2.5,13.0
Thomas Schaffer,DE,78.0,302.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,2021.0,0.0,1.0,2.0,15.0,0.0,4.0,20.0
Devon Wharton,DE,74.0,215.0,5.1,30.5,4.0,115.0,8.12,4.7,0.0,0.0,2021.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0
Shaka Toney,DE,74.0,242.0,4.51,39.0,24.0,128.0,6.95,4.28,1.0,246.0,2021.0,1.0,2.0,5.0,21.0,0.0,7.5,31.0
Margus Hunt,DE,80.0,277.0,4.62,34.5,38.0,121.0,7.07,4.51,1.0,53.0,2013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Datone Jones,DE,76.0,283.0,4.8,31.5,29.0,112.0,7.32,4.32,1.0,26.0,2013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lavar Edwards,DE,76.0,277.0,4.8,33.0,0.0,119.0,7.03,4.51,1.0,142.0,2013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derrick Shelby,DE,75.0,266.0,4.87,35.5,26.0,116.0,7.09,4.5,0.0,0.0,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jackson Jeffcoat,DE,75.0,247.0,4.63,36.0,18.0,123.0,6.97,4.18,0.0,0.0,2014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Kruger,DE,78.0,269.0,4.83,34.0,24.0,117.0,7.17,4.46,1.0,212.0,2013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bjoern Werner,DE,75.0,266.0,4.83,31.0,25.0,111.0,7.3,4.4,1.0,24.0,2013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jason Pierre-Paul,DE,77.0,270.0,4.71,30.5,19.0,115.0,7.18,4.67,1.0,15.0,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derrick Morgan,DE,75.0,266.0,4.77,34.0,0.0,112.0,7.12,4.43,1.0,16.0,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeremy Beal,DE,74.0,262.0,5.14,28.5,22.0,106.0,7.19,4.46,1.0,247.0,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Da'Quan Bowers,DE,75.0,280.0,4.92,0.0,22.0,0.0,0.0,0.0,1.0,51.0,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corey Wootton,DE,78.0,270.0,4.92,0.0,20.0,0.0,0.0,0.0,1.0,109.0,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hall Davis,DE,76.0,271.0,4.84,0.0,28.0,0.0,0.0,0.0,1.0,149.0,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlos Dunlap,DE,78.0,277.0,4.68,31.5,21.0,111.0,7.21,4.61,1.0,54.0,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Carrington,DE,77.0,285.0,4.92,0.0,26.0,0.0,0.0,0.0,1.0,72.0,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greg Hardy,DE,76.0,281.0,4.82,35.0,21.0,117.0,7.25,4.65,1.0,175.0,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ugo Chinasa,DE,77.0,264.0,4.63,28.0,22.0,117.0,7.07,4.39,0.0,0.0,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frank Alexander,DE,76.0,270.0,4.8,0.0,0.0,0.0,0.0,0.0,1.0,103.0,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Markus White,DE,75.0,266.0,4.86,32.5,14.0,117.0,7.25,4.51,1.0,224.0,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Winterswyk,DE,76.0,268.0,4.96,30.0,18.0,111.0,7.01,4.37,0.0,0.0,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aldon Smith,DE,76.0,263.0,4.74,34.0,20.0,118.0,7.19,4.5,1.0,7.0,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adrian Clayborn,DE,75.0,281.0,4.78,33.0,0.0,113.0,7.3,4.13,1.0,20.0,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamie Blatnick,DE,75.0,263.0,4.81,32.5,28.0,112.0,7.22,4.2,0.0,0.0,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ricky Elmore,DE,76.0,255.0,4.88,31.5,26.0,106.0,7.25,4.32,1.0,197.0,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avery Moss,DE,75.0,264.0,4.79,32.5,14.0,114.0,7.25,4.43,1.0,167.0,2017.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0
