Player,Pos,Height,Weight,40yd,Vertical,Broad Jump,3Cone,Shuttle,Drafted,Pick,draft_year,passing_ATT,passing_COMPLETIONS,passing_INT,passing_PCT,passing_TD,passing_YDS,passing_YPA,rushing_CAR,rushing_LONG,rushing_TD,rushing_YDS,rushing_YPC
Shea Patterson,QB,73.0,212.0,4.71,31.0,116.0,7.14,4.5,0.0,0.0,2020.0,381.0,214.0,8.0,0.562,23.0,3061.0,8.0,87.0,22.0,5.0,50.0,0.6
Tua Tagovailoa,QB,72.0,217.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2020.0,252.0,180.0,3.0,0.714,33.0,2840.0,11.3,23.0,25.0,2.0,17.0,0.7
Jalen Hurts,QB,73.0,222.0,4.59,35.0,125.0,0.0,0.0,1.0,53.0,2020.0,341.0,237.0,8.0,0.695,32.0,3851.0,11.3,233.0,52.0,20.0,1298.0,5.6
Anthony Gordon,QB,74.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,689.0,493.0,16.0,0.716,48.0,5575.0,8.1,51.0,17.0,0.0,0.0,0.0
Justin Herbert,QB,78.0,236.0,4.68,35.5,123.0,7.06,4.46,1.0,6.0,2020.0,428.0,286.0,6.0,0.668,32.0,3471.0,8.1,58.0,30.0,4.0,50.0,0.9
Cole McDonald,QB,75.0,215.0,4.58,36.0,121.0,7.13,4.52,1.0,224.0,2020.0,511.0,326.0,14.0,0.638,33.0,4138.0,8.1,103.0,76.0,7.0,377.0,3.7
Steven Montez,QB,76.0,231.0,4.68,33.0,117.0,7.25,4.43,0.0,0.0,2020.0,405.0,255.0,10.0,0.63,17.0,2808.0,6.9,65.0,20.0,3.0,153.0,2.4
James Morgan,QB,76.0,229.0,4.89,29.0,112.0,7.51,4.64,1.0,125.0,2020.0,357.0,207.0,5.0,0.58,14.0,2560.0,7.2,31.0,15.0,2.0,0.0,0.0
Jake Luton,QB,78.0,224.0,0.0,0.0,0.0,0.0,0.0,1.0,189.0,2020.0,358.0,222.0,3.0,0.62,28.0,2714.0,7.6,44.0,19.0,1.0,0.0,0.0
Jordan Love,QB,76.0,224.0,4.74,35.5,118.0,7.21,4.52,1.0,26.0,2020.0,473.0,293.0,17.0,0.619,20.0,3402.0,7.2,81.0,22.0,0.0,175.0,2.2
Brian Lewerke,QB,74.0,213.0,4.95,31.0,113.0,7.14,4.4,0.0,0.0,2020.0,435.0,260.0,13.0,0.598,17.0,3079.0,7.1,111.0,42.0,3.0,363.0,3.3
Justin Fields,QB,74.0,227.0,4.45,0.0,0.0,0.0,0.0,1.0,11.0,2021.0,225.0,158.0,6.0,0.702,22.0,2100.0,9.3,81.0,44.0,5.0,383.0,4.7
Sam Ehlinger,QB,73.0,220.0,4.84,36.5,114.0,7.15,4.44,1.0,218.0,2021.0,322.0,194.0,5.0,0.602,26.0,2566.0,8.0,113.0,36.0,8.0,378.0,3.3
Feleipe Franks,QB,78.0,234.0,4.61,32.5,117.0,7.16,4.22,0.0,0.0,2021.0,237.0,162.0,4.0,0.684,17.0,2091.0,8.8,105.0,28.0,1.0,204.0,1.9
Brady Davis,QB,0.0,0.0,4.65,31.0,114.0,7.06,4.2,0.0,0.0,2021.0,32.0,14.0,1.0,0.438,1.0,187.0,5.8,8.0,6.0,0.0,17.0,2.1
Ian Book,QB,72.0,211.0,4.65,32.5,115.0,6.99,4.19,1.0,133.0,2021.0,353.0,228.0,3.0,0.646,15.0,2830.0,8.0,117.0,33.0,9.0,486.0,4.2
Will Grier,QB,74.0,217.0,4.84,34.0,112.0,7.09,4.28,1.0,100.0,2019.0,397.0,266.0,8.0,0.67,37.0,3864.0,9.7,49.0,15.0,3.0,0.0,0.0
Ryan Finley,QB,76.0,213.0,4.73,30.5,116.0,7.2,4.2,1.0,104.0,2019.0,447.0,300.0,10.0,0.671,21.0,3612.0,8.1,40.0,9.0,1.0,20.0,0.5
Nick Fitzgerald,QB,77.0,226.0,4.64,29.5,115.0,0.0,0.0,0.0,0.0,2019.0,281.0,145.0,9.0,0.516,16.0,1772.0,6.3,221.0,76.0,13.0,1121.0,5.1
Dwayne Haskins,QB,75.0,231.0,5.04,28.5,0.0,0.0,0.0,1.0,15.0,2019.0,531.0,371.0,8.0,0.699,49.0,4751.0,8.9,79.0,17.0,4.0,108.0,1.4
Drew Lock,QB,76.0,228.0,4.69,31.0,112.0,7.03,4.12,1.0,42.0,2019.0,437.0,275.0,8.0,0.629,28.0,3498.0,8.0,55.0,27.0,6.0,175.0,3.2
Mike White,QB,77.0,224.0,5.09,27.0,96.0,7.4,4.4,1.0,171.0,2018.0,560.0,368.0,8.0,0.657,26.0,4177.0,7.5,64.0,10.0,6.0,0.0,0.0
Nic Shimonek,QB,75.0,220.0,4.88,28.5,101.0,7.28,4.32,0.0,0.0,2018.0,493.0,328.0,10.0,0.665,33.0,3963.0,8.0,59.0,16.0,1.0,0.0,0.0
Jake Browning,QB,74.0,211.0,4.74,29.0,112.0,7.19,4.44,0.0,0.0,2019.0,386.0,251.0,10.0,0.65,16.0,3173.0,8.2,83.0,25.0,4.0,127.0,1.5
Logan Woodside,QB,73.0,213.0,4.79,31.5,103.0,6.94,4.15,1.0,249.0,2018.0,411.0,264.0,8.0,0.642,28.0,3882.0,9.4,51.0,18.0,1.0,34.0,0.7
Trace McSorley,QB,72.0,202.0,4.57,33.0,115.0,7.09,4.12,1.0,197.0,2019.0,361.0,192.0,7.0,0.532,18.0,2513.0,7.0,169.0,51.0,12.0,799.0,4.7
Kelly Bryant,QB,75.0,229.0,4.69,35.0,125.0,7.33,4.51,0.0,0.0,2020.0,292.0,181.0,6.0,0.62,15.0,2215.0,7.6,106.0,26.0,1.0,242.0,2.3
Joe Burrow,QB,75.0,221.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2020.0,527.0,402.0,6.0,0.763,60.0,5671.0,10.8,115.0,29.0,5.0,369.0,3.2
Jacob Eason,QB,78.0,231.0,4.89,27.5,110.0,7.5,4.75,1.0,122.0,2020.0,405.0,260.0,8.0,0.642,23.0,3132.0,7.7,46.0,19.0,1.0,0.0,0.0
Jake Fromm,QB,74.0,219.0,5.01,30.0,111.0,7.27,4.51,1.0,167.0,2020.0,385.0,234.0,5.0,0.608,24.0,2860.0,7.4,38.0,15.0,0.0,0.0,0.0
Brett Rypien,QB,74.0,210.0,4.91,33.0,116.0,7.1,4.29,0.0,0.0,2019.0,447.0,301.0,7.0,0.673,30.0,3705.0,8.3,83.0,15.0,0.0,23.0,0.3
Gardner Minshew,QB,73.0,225.0,4.97,33.5,116.0,7.14,4.45,1.0,178.0,2019.0,662.0,468.0,9.0,0.707,38.0,4776.0,7.2,58.0,12.0,4.0,119.0,2.1
Kyler Murray,QB,70.0,207.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2019.0,376.0,259.0,7.0,0.689,42.0,4364.0,11.6,140.0,75.0,12.0,1001.0,7.2
Kyle Shurmur,QB,76.0,230.0,4.91,29.5,106.0,7.51,4.53,0.0,0.0,2019.0,406.0,254.0,6.0,0.626,24.0,3130.0,7.7,39.0,9.0,0.0,0.0,0.0
Clayton Thorson,QB,76.0,222.0,0.0,0.0,0.0,0.0,0.0,1.0,167.0,2019.0,490.0,298.0,15.0,0.608,17.0,3181.0,6.5,78.0,27.0,9.0,0.0,0.0
Jarrett Stidham,QB,74.0,218.0,4.81,31.0,110.0,7.28,4.33,1.0,133.0,2019.0,369.0,224.0,5.0,0.607,18.0,2795.0,7.6,71.0,18.0,3.0,0.0,0.0
Jordan Ta'amu,QB,75.0,221.0,4.77,27.5,109.0,7.06,4.36,0.0,0.0,2019.0,411.0,262.0,8.0,1.267,19.0,3885.0,20.0,115.0,45.0,6.0,348.0,3.3
Malik Willis,QB,73.0,219.0,0.0,0.0,0.0,0.0,0.0,1.0,86.0,2022.0,339.0,207.0,12.0,0.611,27.0,2857.0,8.4,197.0,56.0,13.0,878.0,4.5
