Player,Pos,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Pick,draft_year,receiving_LONG,receiving_REC,receiving_TD,receiving_YDS,receiving_YPR,rushing_CAR,rushing_LONG,rushing_TD,rushing_YDS,rushing_YPC
James Robinson,RB,69.0,219.0,4.64,40.0,24.0,125.0,7.03,4.19,0.0,0.0,2020.0,12.0,2.0,0.0,10.0,5.0,13.0,18.0,0.0,16.0,1.2
Sewo Olonilua,RB,75.0,232.0,4.66,36.0,25.0,123.0,0.0,4.28,0.0,0.0,2020.0,19.0,24.0,1.0,114.0,4.8,134.0,35.0,8.0,537.0,4.0
La'Mical Perine,RB,71.0,216.0,4.62,35.0,22.0,118.0,7.13,4.31,1.0,120.0,2020.0,30.0,40.0,5.0,262.0,6.6,132.0,88.0,6.0,676.0,5.1
Scottie Phillips,RB,68.0,209.0,4.56,30.0,29.0,114.0,7.4,4.53,0.0,0.0,2020.0,22.0,8.0,1.0,77.0,9.6,125.0,38.0,5.0,542.0,4.3
Ke'Shawn Vaughn,RB,70.0,214.0,4.51,32.0,0.0,117.0,0.0,0.0,1.0,76.0,2020.0,61.0,28.0,1.0,270.0,9.6,198.0,75.0,9.0,1028.0,5.2
Jonathan Taylor,RB,70.0,226.0,4.39,36.0,17.0,123.0,7.01,4.24,1.0,41.0,2020.0,36.0,26.0,5.0,252.0,9.7,320.0,72.0,21.0,2003.0,6.3
J.J. Taylor,RB,65.0,185.0,4.61,34.5,19.0,118.0,7.0,4.15,0.0,0.0,2020.0,28.0,32.0,0.0,289.0,9.0,148.0,40.0,5.0,721.0,4.9
D'Andre Swift,RB,68.0,212.0,4.48,35.5,0.0,121.0,0.0,0.0,1.0,35.0,2020.0,48.0,24.0,1.0,216.0,9.0,196.0,47.0,7.0,1218.0,6.2
Brian Herrien,RB,71.0,209.0,4.62,38.5,18.0,126.0,7.12,4.4,0.0,0.0,2020.0,18.0,16.0,1.0,110.0,6.9,103.0,40.0,6.0,490.0,4.8
JaMycal Hasty,RB,68.0,205.0,4.55,39.0,15.0,123.0,0.0,4.03,0.0,0.0,2020.0,63.0,25.0,0.0,184.0,7.4,109.0,73.0,7.0,627.0,5.8
Zack Moss,RB,69.0,223.0,4.65,33.0,19.0,0.0,0.0,4.37,1.0,86.0,2020.0,69.0,28.0,2.0,388.0,13.9,235.0,91.0,15.0,1416.0,6.0
Anthony McFarland,RB,68.0,208.0,4.44,29.5,0.0,116.0,0.0,0.0,1.0,124.0,2020.0,39.0,17.0,1.0,126.0,7.4,114.0,80.0,8.0,614.0,5.4
Tony Jones,RB,70.0,220.0,4.68,32.5,13.0,119.0,7.18,4.21,0.0,0.0,2020.0,24.0,15.0,1.0,104.0,6.9,144.0,84.0,6.0,857.0,6.0
Joshua Kelley,RB,71.0,212.0,4.49,31.0,23.0,121.0,6.95,4.28,1.0,112.0,2020.0,14.0,11.0,1.0,71.0,6.5,229.0,54.0,12.0,1060.0,4.6
Javon Leake,RB,72.0,215.0,4.65,34.0,0.0,125.0,0.0,0.0,0.0,0.0,2020.0,33.0,9.0,0.0,55.0,6.1,102.0,64.0,8.0,736.0,7.2
Benny LeMay,RB,68.0,221.0,4.75,28.5,24.0,112.0,0.0,0.0,0.0,0.0,2020.0,47.0,19.0,4.0,242.0,12.7,193.0,65.0,9.0,1072.0,5.6
Chris Evans,RB,71.0,211.0,4.5,40.5,20.0,127.0,6.83,4.12,1.0,202.0,2021.0,23.0,9.0,0.0,87.0,9.7,16.0,16.0,1.0,73.0,4.6
Demetric Felton,RB,68.0,189.0,4.55,0.0,0.0,0.0,0.0,0.0,1.0,211.0,2021.0,28.0,22.0,3.0,159.0,7.2,132.0,40.0,5.0,668.0,5.1
Travis Etienne,RB,70.0,215.0,4.45,33.5,18.0,128.0,0.0,0.0,1.0,25.0,2021.0,46.0,48.0,2.0,588.0,12.3,168.0,72.0,14.0,914.0,5.4
Bryson Denley,RB,67.0,189.0,4.56,27.5,13.0,110.0,7.25,4.57,0.0,0.0,2021.0,0.0,0.0,0.0,0.0,0.0,39.0,12.0,0.0,146.0,3.7
Gerrid Doaks,RB,71.0,228.0,4.58,39.5,19.0,120.0,7.2,4.27,0.0,0.0,2021.0,60.0,14.0,2.0,202.0,14.4,144.0,72.0,7.0,673.0,4.7
Javian Hawkins,RB,68.0,183.0,4.46,36.0,0.0,116.0,6.98,4.23,0.0,0.0,2021.0,29.0,16.0,1.0,127.0,7.9,133.0,90.0,7.0,822.0,6.2
Justin Henderson,RB,67.0,220.0,4.65,32.0,26.0,118.0,7.22,4.59,0.0,0.0,2021.0,8.0,9.0,0.0,37.0,4.1,75.0,34.0,2.0,252.0,3.4
Khalil Herbert,RB,68.0,210.0,4.46,33.0,22.0,115.0,6.96,4.31,1.0,217.0,2021.0,46.0,10.0,1.0,179.0,17.9,155.0,76.0,8.0,1183.0,7.6
Jake Funk,RB,70.0,204.0,4.49,38.0,22.0,122.0,6.71,4.12,1.0,233.0,2021.0,20.0,10.0,1.0,68.0,6.8,60.0,52.0,3.0,511.0,8.5
Kenneth Gainwell,RB,0.0,201.0,4.42,0.0,21.0,0.0,0.0,0.0,1.0,150.0,2021.0,68.0,51.0,3.0,610.0,12.0,231.0,75.0,13.0,1459.0,6.3
Garrett Groshek,RB,71.0,217.0,4.64,33.5,17.0,115.0,7.08,4.32,0.0,0.0,2021.0,15.0,22.0,0.0,119.0,5.4,67.0,39.0,2.0,300.0,4.5
Corey Dauphine,RB,71.0,198.0,4.71,30.0,14.0,117.0,7.4,4.53,0.0,0.0,2021.0,6.0,1.0,0.0,6.0,6.0,72.0,57.0,7.0,575.0,8.0
Rakeem Boyd,RB,71.0,213.0,4.7,32.5,6.0,98.0,7.22,4.38,0.0,0.0,2021.0,15.0,10.0,0.0,33.0,3.3,82.0,16.0,3.0,309.0,3.8
Gary Brightwell,RB,70.0,218.0,4.62,34.5,17.0,118.0,7.51,4.48,1.0,196.0,2021.0,15.0,13.0,0.0,58.0,4.5,86.0,34.0,1.0,386.0,4.5
Otis Anderson,RB,67.0,179.0,4.63,36.0,11.0,113.0,7.04,4.38,0.0,0.0,2021.0,12.0,14.0,0.0,79.0,5.6,125.0,49.0,4.0,687.0,5.5
Michael Carter,RB,67.0,201.0,4.5,34.0,16.0,119.0,6.81,3.98,1.0,107.0,2021.0,46.0,25.0,2.0,267.0,10.7,156.0,65.0,9.0,1245.0,8.0
Damien Harris,RB,70.0,216.0,4.57,37.0,16.0,121.0,0.0,0.0,1.0,87.0,2019.0,52.0,22.0,0.0,204.0,9.3,150.0,73.0,9.0,876.0,5.8
Bryce Love,RB,69.0,200.0,0.0,0.0,18.0,0.0,0.0,0.0,1.0,112.0,2019.0,15.0,20.0,0.0,99.0,5.0,165.0,59.0,6.0,736.0,4.5
Alexander Mattison,RB,71.0,221.0,4.67,35.0,22.0,127.0,7.13,4.29,1.0,102.0,2019.0,23.0,27.0,0.0,173.0,6.4,302.0,59.0,17.0,1412.0,4.7
Travis Homer,RB,70.0,201.0,4.48,39.5,17.0,130.0,7.07,4.31,1.0,204.0,2019.0,24.0,19.0,0.0,186.0,9.8,164.0,70.0,4.0,985.0,6.0
Karan Higdon,RB,69.0,206.0,4.49,34.0,21.0,123.0,0.0,0.0,0.0,0.0,2019.0,15.0,7.0,0.0,43.0,6.1,225.0,67.0,10.0,1180.0,5.2
Justice Hill,RB,70.0,198.0,4.4,40.0,21.0,130.0,0.0,0.0,1.0,113.0,2019.0,22.0,13.0,0.0,68.0,5.2,158.0,92.0,9.0,930.0,5.9
Josh Jacobs,RB,70.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,2019.0,33.0,20.0,3.0,247.0,12.4,120.0,59.0,11.0,640.0,5.3
Akrum Wadley,RB,70.0,194.0,4.54,32.0,12.0,0.0,0.0,0.0,0.0,0.0,2018.0,70.0,28.0,3.0,353.0,12.6,252.0,35.0,10.0,1109.0,4.4
Mark Walton,RB,70.0,202.0,4.6,31.5,18.0,118.0,0.0,0.0,1.0,112.0,2018.0,39.0,7.0,0.0,91.0,13.0,56.0,82.0,3.0,428.0,7.6
Chris Warren,RB,74.0,247.0,4.69,33.0,25.0,121.0,6.98,4.18,0.0,0.0,2018.0,33.0,18.0,2.0,229.0,12.7,71.0,41.0,6.0,314.0,4.4
Jordan Wilkins,RB,73.0,216.0,0.0,36.0,16.0,117.0,0.0,4.27,1.0,169.0,2018.0,25.0,26.0,1.0,241.0,9.3,155.0,64.0,9.0,1011.0,6.5
Darrel Williams,RB,72.0,225.0,4.72,32.0,22.0,109.0,0.0,4.21,0.0,0.0,2018.0,63.0,23.0,0.0,331.0,14.4,145.0,77.0,9.0,820.0,5.7
Roc Thomas,RB,70.0,198.0,4.56,35.5,16.0,125.0,0.0,0.0,0.0,0.0,2018.0,19.0,1.0,0.0,19.0,19.0,18.0,12.0,0.0,86.0,4.8
Nick Brossette,RB,71.0,209.0,4.72,35.5,15.0,118.0,7.38,4.44,0.0,0.0,2019.0,15.0,14.0,0.0,78.0,5.6,240.0,50.0,14.0,1039.0,4.3
Rodney Anderson,RB,72.0,224.0,0.0,0.0,25.0,0.0,0.0,0.0,1.0,211.0,2019.0,0.0,0.0,0.0,0.0,0.0,11.0,65.0,3.0,119.0,10.8
Ryquell Armstead,RB,71.0,220.0,4.45,30.0,22.0,114.0,7.02,4.29,1.0,140.0,2019.0,15.0,8.0,0.0,52.0,6.5,210.0,75.0,13.0,1098.0,5.2
Alex Barnes,RB,72.0,226.0,4.59,38.5,34.0,126.0,6.95,4.1,0.0,0.0,2019.0,30.0,20.0,0.0,194.0,9.7,256.0,55.0,12.0,1355.0,5.3
Raymond Calais,RB,68.0,188.0,4.42,37.5,20.0,120.0,0.0,0.0,1.0,245.0,2020.0,34.0,10.0,1.0,67.0,6.7,117.0,83.0,6.0,886.0,7.6
Eno Benjamin,RB,69.0,207.0,4.57,39.0,12.0,122.0,6.97,4.25,1.0,222.0,2020.0,72.0,42.0,2.0,347.0,8.3,253.0,33.0,10.0,1083.0,4.3
LeVante Bellamy,RB,69.0,192.0,4.5,39.5,16.0,125.0,0.0,0.0,0.0,0.0,2020.0,11.0,15.0,0.0,55.0,3.7,266.0,75.0,23.0,1472.0,5.5
Salvon Ahmed,RB,71.0,197.0,4.62,34.5,0.0,120.0,0.0,0.0,0.0,0.0,2020.0,23.0,16.0,0.0,84.0,5.3,188.0,89.0,11.0,1020.0,5.4
Cam Akers,RB,70.0,217.0,4.47,35.5,20.0,122.0,0.0,4.42,1.0,52.0,2020.0,44.0,30.0,4.0,225.0,7.5,231.0,50.0,14.0,1144.0,5.0
J.K. Dobbins,RB,69.0,209.0,0.0,0.0,23.0,0.0,0.0,0.0,1.0,55.0,2020.0,28.0,23.0,2.0,247.0,10.7,301.0,68.0,21.0,2003.0,6.7
Rico Dowdle,RB,71.0,213.0,4.54,38.0,0.0,127.0,0.0,0.0,0.0,0.0,2020.0,26.0,22.0,0.0,167.0,7.6,106.0,35.0,4.0,498.0,4.7
Clyde Edwards-Helaire,RB,67.0,207.0,4.6,39.5,15.0,123.0,0.0,0.0,1.0,32.0,2020.0,26.0,55.0,1.0,453.0,8.2,215.0,89.0,16.0,1414.0,6.6
Darrynton Evans,RB,70.0,203.0,4.41,37.0,20.0,125.0,0.0,0.0,1.0,93.0,2020.0,58.0,21.0,5.0,198.0,9.4,255.0,87.0,18.0,1479.0,5.8
AJ Dillon,RB,72.0,247.0,4.53,41.0,23.0,131.0,7.19,0.0,1.0,62.0,2020.0,42.0,13.0,1.0,195.0,15.0,318.0,61.0,14.0,1685.0,5.3
DeeJay Dallas,RB,70.0,217.0,4.58,33.5,0.0,119.0,7.18,4.32,1.0,144.0,2020.0,42.0,14.0,2.0,140.0,10.0,114.0,62.0,8.0,693.0,6.1
Miles Sanders,RB,71.0,211.0,4.49,36.0,20.0,124.0,6.89,4.19,1.0,53.0,2019.0,29.0,24.0,0.0,139.0,5.8,219.0,78.0,9.0,1271.0,5.8
Jordan Scarlett,RB,71.0,208.0,4.47,30.0,21.0,116.0,7.37,4.63,1.0,154.0,2019.0,30.0,10.0,0.0,84.0,8.4,131.0,48.0,5.0,776.0,5.9
Lj Scott,RB,72.0,227.0,0.0,33.0,21.0,120.0,7.27,4.34,0.0,0.0,2019.0,32.0,9.0,0.0,97.0,10.8,96.0,43.0,1.0,370.0,9.8
Tony Pollard,RB,72.0,210.0,4.52,35.0,13.0,121.0,0.0,0.0,1.0,128.0,2019.0,44.0,38.0,3.0,444.0,11.7,79.0,41.0,6.0,553.0,7.0
David Montgomery,RB,70.0,222.0,4.63,28.5,15.0,121.0,0.0,0.0,1.0,73.0,2019.0,53.0,22.0,0.0,157.0,7.1,255.0,39.0,13.0,1185.0,4.6
Jalin Moore,RB,70.0,212.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,2019.0,14.0,6.0,0.0,40.0,6.7,63.0,81.0,6.0,400.0,6.3
Qadree Ollison,RB,73.0,228.0,4.58,29.5,19.0,114.0,7.53,4.31,1.0,152.0,2019.0,16.0,11.0,0.0,66.0,6.0,194.0,97.0,11.0,1213.0,6.3
Devin Singletary,RB,67.0,203.0,4.66,35.0,15.0,117.0,7.32,4.4,1.0,74.0,2019.0,13.0,6.0,0.0,36.0,6.0,261.0,44.0,22.0,1348.0,5.2
Mike Weber,RB,70.0,211.0,4.47,33.5,22.0,0.0,0.0,0.0,1.0,218.0,2019.0,15.0,21.0,1.0,112.0,5.3,171.0,49.0,5.0,954.0,5.6
Trayveon Williams,RB,68.0,206.0,4.51,33.0,19.0,121.0,7.44,4.44,1.0,182.0,2019.0,38.0,27.0,1.0,277.0,10.3,271.0,93.0,18.0,1760.0,6.5
Benny Snell,RB,70.0,224.0,4.66,29.5,16.0,119.0,7.07,4.33,1.0,122.0,2019.0,28.0,17.0,0.0,105.0,6.2,288.0,52.0,16.0,1434.0,5.0
Kylin Hill,RB,70.0,214.0,4.51,36.0,22.0,122.0,7.13,4.35,1.0,256.0,2021.0,75.0,23.0,1.0,237.0,10.3,15.0,12.0,0.0,58.0,3.9
Kenneth Walker,RB,69.0,211.0,4.38,34.0,0.0,122.0,0.0,0.0,1.0,41.0,2022.0,17.0,13.0,1.0,89.0,6.8,263.0,94.0,18.0,1636.0,6.2
Jaylen Warren,RB,68.0,204.0,4.55,31.5,0.0,119.0,0.0,0.0,0.0,0.0,2022.0,52.0,25.0,0.0,225.0,9.0,256.0,75.0,11.0,1216.0,4.8
Rachaad White,RB,72.0,214.0,4.48,38.0,0.0,125.0,0.0,0.0,1.0,91.0,2022.0,34.0,43.0,1.0,456.0,10.6,182.0,50.0,15.0,1006.0,5.5
ZaQuandre White,RB,72.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022.0,40.0,19.0,3.0,202.0,10.6,88.0,63.0,2.0,583.0,6.6
Zamir White,RB,72.0,214.0,4.4,33.5,0.0,128.0,0.0,0.0,1.0,122.0,2022.0,15.0,9.0,0.0,75.0,8.3,160.0,42.0,11.0,856.0,5.4
Kyren Williams,RB,69.0,194.0,4.65,32.0,0.0,116.0,0.0,0.0,1.0,164.0,2022.0,55.0,42.0,3.0,359.0,8.5,204.0,91.0,14.0,1002.0,4.9
CJ Verdell,RB,68.0,194.0,0.0,29.5,0.0,118.0,0.0,0.0,0.0,0.0,2022.0,20.0,8.0,1.0,74.0,9.3,78.0,77.0,6.0,406.0,5.2
Abram Smith,RB,72.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022.0,14.0,13.0,0.0,75.0,5.8,257.0,75.0,12.0,1601.0,6.2
Isaiah Spiller,RB,72.0,217.0,0.0,30.0,0.0,114.0,0.0,0.0,1.0,123.0,2022.0,19.0,25.0,1.0,189.0,7.6,179.0,67.0,6.0,1011.0,5.6
Pierre Strong,RB,71.0,207.0,4.37,36.0,0.0,124.0,0.0,0.0,1.0,127.0,2022.0,4.0,3.0,0.0,8.0,2.7,13.0,48.0,2.0,138.0,10.6
Chase Brown,RB,70.0,209.0,4.43,40.0,0.0,127.0,0.0,0.0,1.0,163.0,2023.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,5.0
Zach Charbonnet,RB,72.0,214.0,4.53,37.0,0.0,122.0,0.0,0.0,1.0,52.0,2023.0,44.0,37.0,0.0,321.0,8.7,195.0,49.0,14.0,1359.0,7.0
Israel Abanikanda,RB,70.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,143.0,2023.0,37.0,12.0,1.0,146.0,12.2,239.0,80.0,20.0,1431.0,6.0
Devon Achane,RB,69.0,188.0,4.32,33.0,0.0,0.0,0.0,0.0,1.0,84.0,2023.0,25.0,36.0,3.0,196.0,5.4,196.0,65.0,8.0,1102.0,5.6
Tank Bigsby,RB,72.0,210.0,4.56,32.5,0.0,119.0,0.0,0.0,1.0,88.0,2023.0,37.0,30.0,0.0,180.0,6.0,179.0,50.0,10.0,970.0,5.4
Keaontay Ingram,RB,72.0,221.0,4.53,34.5,0.0,122.0,0.0,0.0,1.0,201.0,2022.0,32.0,22.0,0.0,156.0,7.1,156.0,53.0,5.0,911.0,5.8
Zonovan Knight,RB,71.0,209.0,4.58,31.0,0.0,114.0,0.0,0.0,0.0,0.0,2022.0,38.0,21.0,0.0,156.0,7.4,140.0,46.0,3.0,753.0,5.4
Breece Hall,RB,71.0,217.0,4.39,40.0,0.0,126.0,0.0,0.0,1.0,36.0,2022.0,30.0,36.0,3.0,302.0,8.4,253.0,80.0,20.0,1472.0,5.8
Tyler Goodson,RB,69.0,197.0,4.42,36.5,0.0,123.0,0.0,0.0,0.0,0.0,2022.0,67.0,31.0,1.0,247.0,8.0,256.0,56.0,6.0,1151.0,4.5
Hassan Haskins,RB,74.0,228.0,0.0,0.0,27.0,0.0,0.0,0.0,1.0,131.0,2022.0,20.0,18.0,0.0,131.0,7.3,270.0,62.0,20.0,1327.0,4.9
Dameon Pierce,RB,70.0,218.0,4.59,34.5,21.0,119.0,0.0,0.0,1.0,107.0,2022.0,61.0,19.0,3.0,216.0,11.4,100.0,27.0,13.0,574.0,5.7
D'vonte Price,RB,73.0,210.0,4.38,34.0,0.0,119.0,0.0,0.0,0.0,0.0,2022.0,20.0,10.0,0.0,83.0,8.3,129.0,68.0,6.0,682.0,5.3
Ronnie Rivers,RB,68.0,195.0,4.6,36.5,0.0,119.0,0.0,0.0,0.0,0.0,2022.0,61.0,34.0,2.0,364.0,10.7,161.0,64.0,5.0,788.0,4.9
Brian Robinson,RB,74.0,225.0,4.53,30.0,0.0,119.0,0.0,0.0,1.0,98.0,2022.0,51.0,35.0,2.0,296.0,8.5,271.0,63.0,14.0,1343.0,5.0
Sincere McCormick,RB,69.0,205.0,4.6,33.5,0.0,116.0,0.0,0.0,0.0,0.0,2022.0,21.0,22.0,0.0,184.0,8.4,298.0,81.0,15.0,1479.0,5.0
Deneric Prince,RB,72.0,216.0,4.41,35.5,0.0,124.0,0.0,0.0,0.0,0.0,2023.0,19.0,9.0,1.0,84.0,9.3,126.0,84.0,5.0,729.0,5.8
Bijan Robinson,RB,71.0,215.0,4.46,37.0,0.0,124.0,0.0,0.0,1.0,8.0,2023.0,42.0,19.0,2.0,314.0,16.5,258.0,78.0,18.0,1578.0,6.1
Camerun Peoples,RB,73.0,217.0,4.61,37.0,0.0,121.0,0.0,0.0,0.0,0.0,2023.0,12.0,6.0,0.0,43.0,7.2,101.0,73.0,5.0,599.0,5.9
Keaton Mitchell,RB,68.0,179.0,4.37,38.0,0.0,126.0,0.0,0.0,0.0,0.0,2023.0,73.0,27.0,1.0,252.0,9.3,201.0,81.0,14.0,1452.0,7.2
Kendre Miller,RB,71.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,71.0,2023.0,21.0,16.0,0.0,116.0,7.3,224.0,75.0,17.0,1399.0,6.2
