Player,Pos,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Pick,draft_year,receiving_LONG,receiving_REC,receiving_TD,receiving_YDS,receiving_YPR,rushing_CAR,rushing_LONG,rushing_TD,rushing_YDS,rushing_YPC
Seyi Ajirotutu,WR,75.0,204.0,4.6,36.0,14.0,115.0,7.22,4.39,0.0,0.0,2010.0,46.0,49.0,7.0,677.0,13.8,0.0,0.0,0.0,0.0,0.0
Michael Pittman,WR,76.0,223.0,4.52,36.5,13.0,121.0,6.96,4.14,1.0,34.0,2020.0,77.0,101.0,11.0,1275.0,12.6,0.0,0.0,0.0,0.0,0.0
James Proche,WR,71.0,201.0,0.0,34.5,20.0,0.0,7.27,4.4,1.0,201.0,2020.0,52.0,111.0,15.0,1225.0,11.0,4.0,12.0,0.0,18.0,4.5
Jalen Reagor,WR,71.0,206.0,4.47,42.0,17.0,138.0,7.31,4.46,1.0,21.0,2020.0,55.0,43.0,5.0,611.0,14.2,14.0,29.0,0.0,89.0,6.4
Joe Reed,WR,72.0,224.0,4.47,38.0,21.0,123.0,0.0,0.0,1.0,151.0,2020.0,43.0,77.0,7.0,679.0,8.8,8.0,22.0,0.0,42.0,5.3
Kendrick Rogers,WR,76.0,208.0,4.51,35.5,17.0,124.0,7.13,4.48,0.0,0.0,2020.0,23.0,30.0,2.0,351.0,11.7,0.0,0.0,0.0,0.0,0.0
Dezmon Patmon,WR,76.0,225.0,4.48,36.0,15.0,132.0,7.28,4.38,1.0,212.0,2020.0,48.0,58.0,8.0,762.0,13.1,0.0,0.0,0.0,0.0,0.0
K.J. Osborn,WR,71.0,203.0,4.48,37.5,18.0,123.0,7.0,4.35,1.0,176.0,2020.0,32.0,50.0,5.0,547.0,10.9,5.0,5.0,0.0,15.0,3.0
Aaron Parker,WR,74.0,209.0,4.57,26.5,12.0,112.0,6.94,4.23,0.0,0.0,2020.0,38.0,14.0,1.0,208.0,14.9,1.0,0.0,0.0,0.0,0.0
Donovan Peoples-Jones,WR,74.0,212.0,4.48,44.5,0.0,139.0,0.0,0.0,1.0,187.0,2020.0,41.0,34.0,6.0,438.0,12.9,2.0,2.0,0.0,0.0,0.0
Quez Watkins,WR,72.0,185.0,4.35,36.5,0.0,125.0,7.28,4.36,1.0,200.0,2020.0,77.0,64.0,6.0,1178.0,18.4,1.0,1.0,0.0,1.0,1.0
Cody White,WR,75.0,217.0,4.66,35.5,0.0,120.0,7.19,4.52,0.0,0.0,2020.0,49.0,66.0,6.0,922.0,14.0,6.0,13.0,0.0,22.0,3.7
Jeff Thomas,WR,69.0,170.0,4.45,36.5,0.0,125.0,0.0,0.0,0.0,0.0,2020.0,39.0,31.0,3.0,379.0,12.2,7.0,16.0,0.0,41.0,5.9
Darrell Stewart,WR,72.0,212.0,0.0,35.0,15.0,117.0,0.0,0.0,0.0,0.0,2020.0,44.0,49.0,4.0,697.0,14.2,2.0,0.0,0.0,0.0,0.0
Freddie Swain,WR,72.0,197.0,4.46,36.5,16.0,124.0,7.05,4.26,1.0,214.0,2020.0,64.0,38.0,7.0,517.0,13.6,4.0,10.0,0.0,27.0,6.8
Jerry Jeudy,WR,73.0,193.0,4.45,35.0,0.0,120.0,0.0,4.53,1.0,15.0,2020.0,85.0,77.0,10.0,1163.0,15.1,1.0,1.0,0.0,1.0,1.0
K.J. Hill,WR,72.0,196.0,4.6,32.5,17.0,114.0,0.0,0.0,1.0,220.0,2020.0,53.0,57.0,10.0,636.0,11.2,1.0,1.0,0.0,1.0,1.0
Isaiah Hodgins,WR,76.0,210.0,4.61,36.5,9.0,124.0,7.01,4.12,1.0,207.0,2020.0,42.0,86.0,13.0,1171.0,13.6,0.0,0.0,0.0,0.0,0.0
Henry Ruggs III,WR,71.0,188.0,4.27,42.0,0.0,131.0,0.0,0.0,1.0,12.0,2020.0,81.0,40.0,7.0,746.0,18.7,2.0,75.0,1.0,75.0,37.5
Trishton Jackson,WR,73.0,197.0,4.5,36.0,0.0,117.0,0.0,0.0,0.0,0.0,2020.0,85.0,66.0,11.0,1023.0,15.5,2.0,5.0,0.0,3.0,1.5
Van Jefferson,WR,73.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,57.0,2020.0,69.0,49.0,6.0,657.0,13.4,1.0,7.0,0.0,7.0,7.0
John Hightower,WR,73.0,189.0,4.43,38.5,0.0,122.0,7.07,4.21,1.0,168.0,2020.0,76.0,51.0,8.0,943.0,18.5,15.0,35.0,0.0,139.0,9.3
Tee Higgins,WR,76.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.0,2020.0,65.0,59.0,13.0,1167.0,19.8,1.0,36.0,1.0,36.0,36.0
Antonio Gibson,WR,72.0,228.0,4.39,35.0,16.0,118.0,0.0,0.0,1.0,66.0,2020.0,73.0,38.0,8.0,735.0,19.3,33.0,78.0,4.0,369.0,11.2
Stephen Guidry,WR,75.0,201.0,4.47,34.0,0.0,125.0,7.31,4.46,0.0,0.0,2020.0,32.0,30.0,5.0,387.0,12.9,0.0,0.0,0.0,0.0,0.0
KJ Hamler,WR,69.0,178.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,46.0,2020.0,58.0,56.0,8.0,904.0,16.1,13.0,16.0,0.0,43.0,3.3
Jauan Jennings,WR,75.0,215.0,4.72,29.0,0.0,119.0,0.0,0.0,1.0,217.0,2020.0,51.0,59.0,8.0,969.0,16.4,13.0,22.0,1.0,51.0,3.9
Collin Johnson,WR,78.0,222.0,0.0,0.0,17.0,0.0,0.0,0.0,1.0,165.0,2020.0,37.0,38.0,3.0,559.0,14.7,0.0,0.0,0.0,0.0,0.0
Austin Mack,WR,73.0,208.0,4.59,31.5,0.0,117.0,0.0,4.42,0.0,0.0,2020.0,38.0,27.0,3.0,361.0,13.4,0.0,0.0,0.0,0.0,0.0
Denzel Mims,WR,75.0,207.0,4.38,38.5,16.0,131.0,6.66,4.43,1.0,59.0,2020.0,46.0,66.0,12.0,1020.0,15.5,0.0,0.0,0.0,0.0,0.0
Darnell Mooney,WR,70.0,176.0,4.38,37.0,9.0,124.0,0.0,0.0,1.0,173.0,2020.0,48.0,48.0,5.0,713.0,14.9,0.0,0.0,0.0,0.0,0.0
Kalija Lipscomb,WR,72.0,207.0,4.57,32.0,16.0,127.0,0.0,0.0,0.0,0.0,2020.0,49.0,47.0,3.0,511.0,10.9,4.0,22.0,0.0,52.0,13.0
Laviska Shenault Jr.,WR,73.0,227.0,4.58,0.0,17.0,0.0,0.0,0.0,1.0,42.0,2020.0,71.0,56.0,4.0,764.0,13.6,23.0,23.0,2.0,161.0,7.0
CeeDee Lamb,WR,74.0,198.0,4.5,34.5,11.0,124.0,0.0,0.0,1.0,17.0,2020.0,71.0,62.0,14.0,1327.0,21.4,9.0,21.0,1.0,20.0,2.2
Antonio Gandy-Golden,WR,76.0,223.0,4.6,36.0,22.0,127.0,7.33,4.55,1.0,142.0,2020.0,73.0,79.0,10.0,1396.0,17.7,0.0,0.0,0.0,0.0,0.0
Simi Fehoko,WR,75.0,222.0,4.44,34.5,16.0,120.0,6.78,4.26,1.0,179.0,2021.0,57.0,37.0,3.0,584.0,15.8,1.0,0.0,0.0,0.0,0.0
Dez Fitzpatrick,WR,73.0,208.0,4.43,35.0,0.0,0.0,7.09,4.26,1.0,109.0,2021.0,82.0,43.0,3.0,833.0,19.4,0.0,0.0,0.0,0.0,0.0
